C D2102  25 MAR 2021    © COPYRIGHT CORREIOS                 BAIRROS                                                                                                                                               
DSP      00009595Santa Bárbara D'Oeste                                                        00023685Jardim Miguel Cláudio Grego                                             Jd M C Grego                        U
DMA      00002606Timon                                                                        00003079Vila do BEC                                                             Vl BEC                              U
DSP      00008956Barueri                                                                      00015427Vila Iracema-Belval                                                     Vl Iracema-Belval                   U
DSP      00009072Cordeirópolis                                                                00062623Bairro do Cascalho                                                      B Cascalho                          U
DGO      00002125Catalão                                                                      00002180Jardim Paraíso                                                          Jd Paraíso                          U
DMS      00004141Campo Grande                                                                 00006112Santa Mônica                                                            Sta Mônica                          U
DMT      00004462Rondonópolis                                                                 00052855Vila Valéria                                                            Vl Valéria                          U
DMG      00003813Santos Dumont                                                                00075982Água Espraiada                                                          A Espraiada                         I
DMG      00003813Santos Dumont                                                                00075988Antônio Afonso                                                          A Afonso                            I
DMG      00003813Santos Dumont                                                                00075969Área Rural de Santos Dumont                                             A R S Dumont                        I
DMG      00003813Santos Dumont                                                                00075992Boa Vista                                                               B Vista                             I
DMG      00003813Santos Dumont                                                                00075975Cabangu                                                                 Cabangu                             I
DMG      00003813Santos Dumont                                                                00075990Campo Alegre                                                            Cpo Alegre                          I
DMG      00003813Santos Dumont                                                                00075978Córrego do Ouro                                                         Crg Ouro                            I
DMG      00004017Teófilo Otoni                                                                00076009Eucalipto                                                               Eucalipto                           I
DMG      00003813Santos Dumont                                                                00075983Flores                                                                  Flores                              I
DMG      00003813Santos Dumont                                                                00075987Graminha                                                                Graminha                            I
DMG      00003813Santos Dumont                                                                00075971João Paulo II                                                           J Paulo II                          I
DMG      00003813Santos Dumont                                                                00075986Loteamento Belvedere                                                    Lot Belvedere                       I
DMG      00003813Santos Dumont                                                                00075989Nossa Senhora Aparecida                                                 N Sra Aparecida                     I
DMG      00003813Santos Dumont                                                                00075974Nossa Senhora da Glória                                                 N Sra Glória                        I
DMG      00003813Santos Dumont                                                                00075973Nossa Senhora das Graças                                                N Sra Graças                        I
DMG      00003813Santos Dumont                                                                00075972Nossa Senhora de Fátima                                                 N Sra Fátima                        I
DMG      00003813Santos Dumont                                                                00075981Nossa Senhora de Guadalupe                                              N Sra Guadalupe                     I
DMG      00003813Santos Dumont                                                                00075979Ponte Preta                                                             Pte Preta                           I
DMG      00003813Santos Dumont                                                                00075991Quarto Depósito                                                         Q Depósito                          I
DMG      00003813Santos Dumont                                                                00075985Santo Antônio                                                           Sto Antônio                         I
DMG      00003813Santos Dumont                                                                00075984São Miguel                                                              S Miguel                            I
DMG      00003813Santos Dumont                                                                00075980São Sebastião                                                           S Sebastião                         I
DMG      00003813Santos Dumont                                                                00075976São Sebastião da Barra                                                  S S Barra                           I
DMG      00003813Santos Dumont                                                                00075977Vila Esperança                                                          Vl Esperança                        I
DSP      00009789Votuporanga                                                                  00028991Vila Budim                                                              Vl Budim                            U
DPA      00004567Benevides                                                                    00076071Canutama                                                                Canutama                            I
DGO      00002222Luziânia                                                                     00076073Terra Park Club Residence                                               T P C Residence                     I
DSP      00009072Cordeirópolis                                                                00076205Área Rural de Cordeirópolis                                             A R Cordeirópolis                   I
DSP      00009206Igaraçu do Tietê                                                             00076123Área Rural de Igaraçu do Tietê                                          A R I Tietê                         I
DSP      00009072Cordeirópolis                                                                00076152Assentamento XX de Novembro                                             A XX Novembro                       I
DSP      00009072Cordeirópolis                                                                00076140Barreirinho                                                             Barreirinho                         I
DSP      00009072Cordeirópolis                                                                00076151Barro Preto                                                             B Preto                             I
DSP      00009206Igaraçu do Tietê                                                             00076116Conjunto Habitacional Alfredo Fernandes                                 Cj Hab A Fernandes                  I
DSP      00009072Cordeirópolis                                                                00076158Conjunto Habitacional Angelo Betim                                      Cj Hab A Betim                      I
DSP      00009072Cordeirópolis                                                                00076188Conjunto Habitacional Bela Vista                                        Cj Hab B Vista                      I
DSP      00009206Igaraçu do Tietê                                                             00076115Conjunto Habitacional Elvira Ortega Lemos                               Cj Hab E O Lemos                    I
DSP      00009206Igaraçu do Tietê                                                             00076117Conjunto Habitacional Igaraçu  I                                        Cj Hab I  I                         I
DSP      00009206Igaraçu do Tietê                                                             00076114Conjunto Habitacional João Capelazzo                                    Cj Hab J Capelazzo                  I
