C D2102  25 MAR 2021    © COPYRIGHT CORREIOS                 FAIXAS DE CEP POR BAIRRO                                                                                                                  
D  05BA      00000988Salvador                                                                     00075995Retiro                                                                  01 41151000 41151999I
D  06CE      00001451Juazeiro do Norte                                                            00049590Frei Damião                                                             03 63044246 63044425U
D  06CE      00001451Juazeiro do Norte                                                            00049457São José                                                                02 63044426 63044899I
D  08ES      00001847Colatina                                                                     0007602615 de Outubro                                                           01 29707700 29707739I
D  08ES      00002044Vila Velha                                                                   00076024Xuri                                                                    01 29129800 29129810I
D  10GO      00002069Aparecida de Goiânia                                                         00075966Setor Pampulha II                                                       01 74983730 74983749I
D  10GO      00002174Goiânia                                                                      00075960Chácaras Bougainville                                                   01 74371151 74371159I
D  10GO      00002174Goiânia                                                                      00050311Fazenda Caveiras                                                        05 74474730 74474749I
D  10GO      00002174Goiânia                                                                      00058323Fazenda São José                                                        03 74483890 74483899I
D  10GO      00002174Goiânia                                                                      00053250Fazenda São José - Residencial Celeste                                  01 74483871 74483889U
D  10GO      00002222Luziânia                                                                     00076201Fazenda Saia Velha                                                      01 72852420 72852469I
D  10GO      00002222Luziânia                                                                     00034607São Caetano                                                             01 72805000 72805499U
D  10GO      00002222Luziânia                                                                     00076073Terra Park Club Residence                                               01 72805500 72805549I
D  10GO      00002336Senador Canedo                                                               00076088Condomínio Vinhas                                                       01 75254350 75254409I
D  10GO      00002349Trindade                                                                     00075958Condomínio de Chácaras Galiléia                                         01 75390860 75390899I
D  10GO      00002361Valparaíso de Goiás                                                          00075964Chácaras Ypiranga A                                                     01 72879050 72879079I
D  10GO      00002361Valparaíso de Goiás                                                          00075965Chácaras Ypiranga B                                                     01 72879080 72879099I
D  11MA      00002606Timon                                                                        00003050Bela Vista                                                              02 65636890 65636890U
D  11MA      00002606Timon                                                                        00003052Boa Esperança                                                           05 65636891 65636899I
D  11MA      00002606Timon                                                                        00054713Cajueiro                                                                02 65630871 65630899I
D  11MA      00002606Timon                                                                        00003074Jóia                                                                    02 65632816 65632899I
D  11MA      00002606Timon                                                                        00054737Mateuzinho                                                              04 65630800 65630870U
D  11MA      00002606Timon                                                                        00003061Mutirão                                                                 01 65635440 65635899U
D  11MA      00002606Timon                                                                        00003071São Francisco I                                                         02 65636740 65636779I
D  11MA      00002606Timon                                                                        00003071São Francisco I                                                         02 65636722 65636724U
D  11MA      00002606Timon                                                                        00003058São Francisco II                                                        12 65636725 65636739I
D  11MA      00002606Timon                                                                        00003077Vila Bandeirante                                                        07 65635010 65635320I
D  11MA      00002606Timon                                                                        00003077Vila Bandeirante                                                        07 65634661 65634899I
D  11MA      00002606Timon                                                                        00003079Vila do BEC                                                             03 65632400 65632465I
D  11MA      00002606Timon                                                                        00003079Vila do BEC                                                             03 65632600 65632815I
D  14MG      00003234Itabira                                                                      00076322Jardim Bello Monte                                                      01 35901750 35901789I
D  14MG      00003632Poços de Caldas                                                              00005085Jardim Philadélphia                                                     02 37709111 37709120I
D  14MG      00003632Poços de Caldas                                                              00005085Jardim Philadélphia                                                     02 37709100 37709110D
D  14MG      00003632Poços de Caldas                                                              00050471Jardim Philadélphia II                                                  02 37709100 37709110I
D  14MG      00003632Poços de Caldas                                                              00076128Residencial Alamedas                                                    01 37716060 37716099I
D  14MG      00003632Poços de Caldas                                                              00052811Santa Ângela IV                                                         01 37716040 37716059U
D  14MG      00003813Santos Dumont                                                                00075982Água Espraiada                                                          02 36246250 36246269I
D  14MG      00003813Santos Dumont                                                                00075982Água Espraiada                                                          02 36246270 36246289I
D  14MG      00003813Santos Dumont                                                                00075988Antônio Afonso                                                          01 36242510 36242529I
D  14MG      00003813Santos Dumont                                                                00075969Área Rural de Santos Dumont                                             01 36247899 36247899I
D  14MG      00003813Santos Dumont                                                                00075992Boa Vista                                                               01 36246380 36246459I
D  14MG      00003813Santos Dumont                                                                00075975Cabangu                                                                 02 36242340 36242399I
D  14MG      00003813Santos Dumont                                                                00075975Cabangu                                                                 02 36242400 36242419I
D  14MG      00003813Santos Dumont                                                                00075990Campo Alegre                                                            01 36244460 36244479I
D  14MG      00003813Santos Dumont                                                                00034201Centro                                                                  01 36240001 36240189I
D  14MG      00003813Santos Dumont                                                                00075978Córrego do Ouro                                                         02 36244150 36244289I
D  14MG      00003813Santos Dumont                                                                00075978Córrego do Ouro                                                         02 36244290 36244319I
D  14MG      00003813Santos Dumont                                                                00075983Flores                                                                  01 36240190 36240219I
D  14MG      00003813Santos Dumont                                                                00075987Graminha                                                                01 36242260 36242339I
D  14MG      00003813Santos Dumont                                                                00075971João Paulo II                                                           02 36240260 36240269I
D  14MG      00003813Santos Dumont                                                                00075971João Paulo II                                                           02 36240250 36240259I
D  14MG      00003813Santos Dumont                                                                00075986Loteamento Belvedere                                                    01 36242240 36242259I
D  14MG      00003813Santos Dumont                                                                00075989Nossa Senhora Aparecida                                                 01 36244070 36244149I
D  14MG      00003813Santos Dumont                                                                00075974Nossa Senhora da Glória                                                 02 36242060 36242219I
D  14MG      00003813Santos Dumont                                                                00075974Nossa Senhora da Glória                                                 02 36242220 36242239I
D  14MG      00003813Santos Dumont                                                                00075973Nossa Senhora das Graças                                                02 36242000 36242039I
D  14MG      00003813Santos Dumont                                                                00075973Nossa Senhora das Graças                                                02 36242040 36242059I
D  14MG      00003813Santos Dumont                                                                00075972Nossa Senhora de Fátima                                                 02 36240270 36240289I
D  14MG      00003813Santos Dumont                                                                00075972Nossa Senhora de Fátima                                                 02 36240290 36240309I
D  14MG      00003813Santos Dumont                                                                00075981Nossa Senhora de Guadalupe                                              02 36246200 36246229I
D  14MG      00003813Santos Dumont                                                                00075981Nossa Senhora de Guadalupe                                              02 36246230 36246249I
D  14MG      00003813Santos Dumont                                                                00075979Ponte Preta                                                             02 36244320 36244359I
D  14MG      00003813Santos Dumont                                                                00075979Ponte Preta                                                             02 36244360 36244459I
D  14MG      00003813Santos Dumont                                                                00075991Quarto Depósito                                                         01 36246290 36246379I
D  14MG      00003813Santos Dumont                                                                00075985Santo Antônio                                                           01 36240310 36240379I
D  14MG      00003813Santos Dumont                                                                00075984São Miguel                                                              01 36240220 36240249I
D  14MG      00003813Santos Dumont                                                                00075980São Sebastião                                                           02 36246170 36246199I
D  14MG      00003813Santos Dumont                                                                00075980São Sebastião                                                           02 36246000 36246169I
D  14MG      00003813Santos Dumont                                                                00075976São Sebastião da Barra                                                  02 36242480 36242509I
D  14MG      00003813Santos Dumont                                                                00075976São Sebastião da Barra                                                  02 36242420 36242479I
D  14MG      00003813Santos Dumont                                                                00075977Vila Esperança                                                          02 36244000 36244039I
D  14MG      00003813Santos Dumont                                                                00075977Vila Esperança                                                          02 36244040 36244069I
D  14MG      00004017Teófilo Otoni                                                                00076009Eucalipto                                                               01 39801560 39801564I
D  14MG      00004017Teófilo Otoni                                                                00053160Felicidade                                                              01 39800640 39800669U
D  14MG      00004017Teófilo Otoni                                                                00005636Frimusa                                                                 01 39802390 39802399I
D  14MG      00004017Teófilo Otoni                                                                00005662Tabajaras                                                               04 39801065 39801066D
D  14MG      00004017Teófilo Otoni                                                                00005662Tabajaras                                                               04 39801061 39801066I
D  14MG      00004048Uberlândia                                                                   00005878Residencial Integração                                                  03 38407043 38407047I
D  14MG      00004048Uberlândia                                                                   00005878Residencial Integração                                                  03 38407498 38407649I
D  14MG      00004048Uberlândia                                                                   00005878Residencial Integração                                                  03 38407044 38407047D
D  14MG      00004066Varginha                                                                     00076064Parque São Matheus                                                      01 37007150 37007169I
D  13MS      00004141Campo Grande                                                                 00075998Jacy                                                                    01 79006241 79006249I
D  13MS      00004141Campo Grande                                                                 00068265Loteamento Novo Dia                                                     02 79106664 79106667I
D  13MS      00004141Campo Grande                                                                 00006112Santa Mônica                                                            02 79106668 79106670I
D  13MS      00004141Campo Grande                                                                 00006112Santa Mônica                                                            02 79106664 79106670D
D  13MS      00004263Três Lagoas                                                                  00075997Real Park                                                               01 79621550 79621599I
D  12MT      00004462Rondonópolis                                                                 00076258Condomínio do Bosque                                                    01 78744140 78744142I
D  12MT      00004462Rondonópolis                                                                 00076259Condomínio do Bosque II                                                 01 78744143 78744145I
D  12MT      00004462Rondonópolis                                                                 00076260Condomínio Villa Toscana                                                01 78744146 78744148I
D  12MT      00004462Rondonópolis                                                                 00076228Jardim Recanto da Vila Mineira                                          01 78721850 78721869I
D  12MT      00004462Rondonópolis                                                                 00049818Jardim Residencial Carlos Bezerra II                                    01 78717500 78717559U
D  12MT      00004462Rondonópolis                                                                 00076231Jardim Residencial Dona Neuma                                           01 78716650 78716689I
D  12MT      00004462Rondonópolis                                                                 00076227Parque Rosa Bororo                                                      01 78749000 78749049I
D  12MT      00004462Rondonópolis                                                                 00076262Residencial Edelmina Querobin Marchetti                                 01 78717560 78717579I
D  12MT      00004493Sinop                                                                        00076086Residencial Riviera Suíça I                                             01 78556451 78556499I
D  12MT      00004493Sinop                                                                        00076085Residencial Riviera Suíça II                                            01 78555580 78555589I
D  12MT      00004495Sorriso                                                                      00076125Jardim Botânico                                                         01 78893490 78893519I
D  16PB      00004964João Pessoa                                                                  00075999Mussuré                                                                 01 58095000 58095999I
D  18PE      00005389Petrolina                                                                    00075970Alto do Cocar                                                           01 56315000 56315849I
D  22RS      00007533Canoas                                                                       00013127Centro                                                                  12 92310360 92310379U
D  22RS      00007533Canoas                                                                       00013130Harmonia                                                                17 92310380 92310390I
D  22RS      00007533Canoas                                                                       00013130Harmonia                                                                17 92310370 92310390D
D  22RS      00007953Passo Fundo                                                                  00013441Santa Maria                                                             10 99070250 99070349U
D  22RS      00007953Passo Fundo                                                                  00013398São Cristóvão                                                           16 99070350 99070369I
D  22RS      00007994Porto Alegre                                                                 00013465Azenha                                                                  25 90050090 90050099U
D  22RS      00007994Porto Alegre                                                                 00013475Centro Histórico                                                        17 90050200 90050209U
D  22RS      00007994Porto Alegre                                                                 00013475Centro Histórico                                                        17 90050100 90050103D
D  22RS      00007994Porto Alegre                                                                 00013478Cidade Baixa                                                            14 90050100 90050109I
D  26SP      00008912Araraquara                                                                   00014746São Geraldo                                                             03 14804698 14804699I
D  26SP      00008917Arealva                                                                      00076329Barras do Tietê                                                         01 17160530 17160539I
D  26SP      00008917Arealva                                                                      00076336Chácaras Aurora                                                         01 17166540 17166559I
D  26SP      00008917Arealva                                                                      00076338Condomínio Palmas del Rey                                               01 17169000 17169029I
D  26SP      00008917Arealva                                                                      00076337Conjunto Habitacional Francisco Belo de Camargo                         01 17168040 17168049I
D  26SP      00008917Arealva                                                                      00076326Domingos Aquilante                                                      01 17160390 17160399I
D  26SP      00008917Arealva                                                                      00076335Eldorado                                                                01 17166530 17166539I
D  26SP      00008917Arealva                                                                      00076334Jardim Colonial                                                         01 17166520 17166529I
D  26SP      00008917Arealva                                                                      00076327Jardim da Praia                                                         01 17160510 17160519I
